institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
DINAS TENAGA KERJA,DINAS TENAGA KERJA — Kab. Kebumen,Kab. Kebumen,DINAS TENAGA KERJA,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,12,265692246,June 2026; May 2026,CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE,,,,,,,,
SEKRETARIAT DAERAH KOTA GUNUNGSITOLI,SEKRETARIAT DAERAH KOTA GUNUNGSITOLI — Kota Gunungsitoli,Kota Gunungsitoli,SEKRETARIAT DAERAH KOTA GUNUNGSITOLI,"Sumatera Utara, Gunung Sitoli (Kota)",LOCAL_AGENCY,11,643621729,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
Dinas Pertanian dan Pangan,Dinas Pertanian dan Pangan — Kab. Gunungkidul,Kab. Gunungkidul,Dinas Pertanian dan Pangan,"DI Yogyakarta, Gunung Kidul (Kab.)",LOCAL_AGENCY,11,485732300,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN KABUPATEN,BADAN PENGELOLAAN KEUANGAN KABUPATEN — Kab. Pidie,Kab. Pidie,BADAN PENGELOLAAN KEUANGAN KABUPATEN,"Aceh, Pidie (Kab.)",LOCAL_AGENCY,11,268426249,June 2026,IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
Badan Pengelolaan Keuangan Daerah,Badan Pengelolaan Keuangan Daerah — Kab. Ciamis,Kab. Ciamis,Badan Pengelolaan Keuangan Daerah,"Jawa Barat, Ciamis (Kab.)",LOCAL_AGENCY,11,249457000,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS PARIWISATA DAN KEBUDAYAAN,DINAS PARIWISATA DAN KEBUDAYAAN — Kab. Kebumen,Kab. Kebumen,DINAS PARIWISATA DAN KEBUDAYAAN,"Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,11,209786666,June 2026; May 2026,CAMERA_VIDEO; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Kecamatan Ciamis,Kecamatan Ciamis — Kab. Ciamis,Kab. Ciamis,Kecamatan Ciamis,"Jawa Barat, Ciamis (Kab.)",LOCAL_AGENCY,11,50590000,June 2026; May 2026,IT_HARDWARE; LAPTOP; PRINTER,,,,,,,,
Kecamatan Asemrowo,Kecamatan Asemrowo — Kota Surabaya,Kota Surabaya,Kecamatan Asemrowo,"Jawa Timur, Surabaya (Kota)",LOCAL_AGENCY,10,541087327,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE,,,,,,,,
"DINAS KESEHATAN, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","DINAS KESEHATAN, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA — Kab. Humbang Hasundutan",Kab. Humbang Hasundutan,"DINAS KESEHATAN, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sumatera Utara, Humbang Hasundutan (Kab.)",LOCAL_AGENCY,10,540396600,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE,,,,,,,,
Dinas Perumahan dan Kawasan Permukiman,Dinas Perumahan dan Kawasan Permukiman — Kota Cimahi,Kota Cimahi,Dinas Perumahan dan Kawasan Permukiman,"Jawa Barat, Cimahi (Kota) | Jawa Barat, Cimahi (Kota) | Jawa Barat, Cimahi (Kota)",LOCAL_AGENCY,10,409279604,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
BAGIAN KESEJAHTERAAN RAKYAT,BAGIAN KESEJAHTERAAN RAKYAT — Kab. Lahat,Kab. Lahat,BAGIAN KESEJAHTERAAN RAKYAT,"Sumatera Selatan, Lahat (Kab.)",LOCAL_AGENCY,10,288635400,June 2026; May 2026,AUDIO; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Kebudayaan dan Pariwisata,Dinas Kebudayaan dan Pariwisata — Kab. Kuantan Singingi,Kab. Kuantan Singingi,Dinas Kebudayaan dan Pariwisata,"Riau, Kuantan Singingi (Kab.)",LOCAL_AGENCY,10,162098650,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; STORAGE,,,,,,,,
DINAS PERTANIAN DAN PANGAN,DINAS PERTANIAN DAN PANGAN — Kab. Kebumen,Kab. Kebumen,DINAS PERTANIAN DAN PANGAN,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,10,137394436,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Perdagangan,Dinas Perdagangan — Kab. Ogan Komering Ilir,Kab. Ogan Komering Ilir,Dinas Perdagangan,"Sumatera Selatan, Ogan Komering Ilir (Kab.)",LOCAL_AGENCY,10,117287520,June 2026; May 2026,AUDIO; CCTV; IT_HARDWARE; OFFICE_FURNITURE; UPS,,,,,,,,
Bagian Kesejahteraan Rakyat,Bagian Kesejahteraan Rakyat — Kab. Batu Bara,Kab. Batu Bara,Bagian Kesejahteraan Rakyat,"Sumatera Utara, Batubara (Kab.)",LOCAL_AGENCY,10,100566200,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE,,,,,,,,
BAGIAN UMUM,BAGIAN UMUM — Kab. Brebes,Kab. Brebes,BAGIAN UMUM,"Jawa Tengah, Brebes (Kab.) | Jawa Tengah, Brebes (Kab.) | Jawa Tengah, Brebes (Kab.)",LOCAL_AGENCY,9,533404700,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH — Kab. Konawe,Kab. Konawe,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,"Sulawesi Tenggara, Konawe (Kab.)",LOCAL_AGENCY,9,531744000,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Ketahanan Pangan dan Pertanian,Dinas Ketahanan Pangan dan Pertanian — Kab. Jepara,Kab. Jepara,Dinas Ketahanan Pangan dan Pertanian,"Jawa Tengah, Jepara (Kab.)",LOCAL_AGENCY,9,443686784,June 2026; May 2026,CCTV; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
DINAS PERPUSTAKAAN DAN ARSIP DAERAH,DINAS PERPUSTAKAAN DAN ARSIP DAERAH — Kota Tangerang,Kota Tangerang,DINAS PERPUSTAKAAN DAN ARSIP DAERAH,"Banten, Tangerang (Kota)",LOCAL_AGENCY,9,336260000,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA — Kab. Klaten",Kab. Klaten,"DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Jawa Tengah, Klaten (Kab.)",LOCAL_AGENCY,9,323488150,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE,,,,,,,,
"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH","BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH — Kab. Demak",Kab. Demak,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH","Jawa Tengah, Demak (Kab.)",LOCAL_AGENCY,9,264358500,June 2026; May 2026,DESKTOP; IT_HARDWARE; NETWORKING,,,,,,,,
Dinas Pemberdayaan Masyarakat dan Kampung,Dinas Pemberdayaan Masyarakat dan Kampung — Kab. Sorong,Kab. Sorong,Dinas Pemberdayaan Masyarakat dan Kampung,"Papua Barat Daya, Sorong (Kab.)",LOCAL_AGENCY,9,165678520,May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER; UPS,,,,,,,,
"Dinas Perdagangan, Perindustrian dan Tenaga Kerja","Dinas Perdagangan, Perindustrian dan Tenaga Kerja — Kab. Sekadau",Kab. Sekadau,"Dinas Perdagangan, Perindustrian dan Tenaga Kerja","Kalimantan Barat, Sekadau (Kab.)",LOCAL_AGENCY,9,92479127,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK — Kab. Konawe Selatan,Kab. Konawe Selatan,DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,"Sulawesi Tenggara, Konawe Selatan (Kab.)",LOCAL_AGENCY,9,74677000,June 2026; May 2026,CCTV; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Kecamatan Wajo,Kecamatan Wajo — Kota Makassar,Kota Makassar,Kecamatan Wajo,"Sulawesi Selatan, Makassar (Kota)",LOCAL_AGENCY,8,2630250600,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Kecamatan Krembangan,Kecamatan Krembangan — Kota Surabaya,Kota Surabaya,Kecamatan Krembangan,"Jawa Timur, Surabaya (Kota)",LOCAL_AGENCY,8,865773315,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
Kecamatan Arcamanik,Kecamatan Arcamanik — Kota Bandung,Kota Bandung,Kecamatan Arcamanik,"Jawa Barat, Bandung (Kota)",LOCAL_AGENCY,8,730997700,June 2026; May 2026,CCTV; OFFICE_FURNITURE,,,,,,,,
INSPEKTORAT DAERAH,INSPEKTORAT DAERAH — Kab. Kebumen,Kab. Kebumen,INSPEKTORAT DAERAH,"Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,8,502512200,June 2026; May 2026,CCTV; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE,,,,,,,,
Dinas Ketahanan Pangan dan Peternakan,Dinas Ketahanan Pangan dan Peternakan — Kab. Kediri,Kab. Kediri,Dinas Ketahanan Pangan dan Peternakan,"Jawa Timur, Kediri (Kab.)",LOCAL_AGENCY,8,464924000,June 2026; May 2026,CCTV; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
DINAS KOPERASI DAN USAHA MIKRO,DINAS KOPERASI DAN USAHA MIKRO — Kota Semarang,Kota Semarang,DINAS KOPERASI DAN USAHA MIKRO,"Jawa Tengah, Semarang (Kota)",LOCAL_AGENCY,8,397893761,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
"Dinas Kebudayaan, Kepemudaan, Olahraga dan Pariwisata Kota Banjarmasin","Dinas Kebudayaan, Kepemudaan, Olahraga dan Pariwisata Kota Banjarmasin — Kota Banjarmasin",Kota Banjarmasin,"Dinas Kebudayaan, Kepemudaan, Olahraga dan Pariwisata Kota Banjarmasin","Kalimantan Selatan, Banjarmasin (Kota)",LOCAL_AGENCY,8,383755000,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
